Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RollerBallBrain,0.201,152.054,0.919,102,0.615
RollerBallBrain,0.208,153.312,0.886,101,0.617
RollerBallBrain,0.218,154.566,0.881,104,0.619
RollerBallBrain,0.214,155.873,0.924,106,0.622
RollerBallBrain,0.228,157.254,0.983,110,0.624
RollerBallBrain,0.200,158.454,0.835,102,0.626
RollerBallBrain,0.199,159.706,0.887,105,0.629
RollerBallBrain,0.212,161.052,0.956,114,0.632
RollerBallBrain,0.208,162.411,0.973,107,0.635
RollerBallBrain,0.223,163.800,0.979,110,0.636
RollerBallBrain,0.215,165.068,0.883,106,0.639
RollerBallBrain,0.239,166.396,0.928,107,0.642
RollerBallBrain,0.225,167.785,0.973,104,0.644
RollerBallBrain,0.223,169.099,0.914,102,0.646
RollerBallBrain,0.197,170.405,0.939,104,0.649
RollerBallBrain,0.194,171.654,0.892,103,0.651
RollerBallBrain,0.195,172.919,0.898,104,0.654
RollerBallBrain,0.223,174.270,0.950,103,0.656
RollerBallBrain,0.202,175.463,0.830,102,0.658
RollerBallBrain,0.212,176.814,0.960,113,0.660
RollerBallBrain,0.202,178.072,0.893,105,0.662
RollerBallBrain,0.197,179.326,0.896,102,0.665
RollerBallBrain,0.194,180.625,0.933,107,0.666
RollerBallBrain,0.205,181.915,0.904,104,0.669
RollerBallBrain,0.195,183.170,0.887,103,0.671
RollerBallBrain,0.209,184.406,0.868,103,0.673
RollerBallBrain,0.205,185.730,0.936,109,0.675
RollerBallBrain,0.190,186.931,0.852,101,0.677
RollerBallBrain,0.207,188.254,0.947,110,0.678
RollerBallBrain,0.198,189.500,0.884,101,0.680
RollerBallBrain,0.206,190.801,0.925,101,0.683
RollerBallBrain,0.192,192.022,0.855,103,0.685
RollerBallBrain,0.236,193.330,0.899,103,0.687
RollerBallBrain,0.191,194.583,0.899,102,0.690
RollerBallBrain,0.218,195.873,0.909,102,0.691
RollerBallBrain,0.210,197.193,0.921,109,0.693
RollerBallBrain,0.219,198.511,0.930,102,0.695
RollerBallBrain,0.231,199.883,0.962,109,0.696
RollerBallBrain,0.204,201.175,0.913,103,0.698
RollerBallBrain,0.191,202.465,0.935,109,0.700
RollerBallBrain,0.192,203.761,0.919,104,0.701
RollerBallBrain,0.209,205.019,0.877,105,0.702
RollerBallBrain,0.216,206.370,0.958,113,0.704
RollerBallBrain,0.200,207.638,0.902,102,0.705
RollerBallBrain,0.202,208.991,0.971,106,0.707
RollerBallBrain,0.223,210.304,0.916,101,0.709
RollerBallBrain,0.200,211.638,0.953,108,0.711
RollerBallBrain,0.187,212.928,0.934,105,0.713
RollerBallBrain,0.187,214.125,0.844,101,0.714
RollerBallBrain,0.198,215.373,0.879,101,0.716
RollerBallBrain,0.190,216.597,0.875,105,0.718
RollerBallBrain,0.189,217.861,0.918,108,0.719
RollerBallBrain,0.214,219.155,0.914,110,0.721
RollerBallBrain,0.197,220.360,0.850,101,0.722
RollerBallBrain,0.291,221.852,1.013,104,0.724
RollerBallBrain,0.243,223.340,1.031,106,0.725
RollerBallBrain,0.224,224.720,0.977,105,0.727
RollerBallBrain,0.191,225.926,0.852,101,0.728
RollerBallBrain,0.206,227.219,0.913,105,0.730
RollerBallBrain,0.187,228.469,0.895,103,0.732
RollerBallBrain,0.224,229.785,0.911,105,0.733
RollerBallBrain,0.250,231.136,0.925,103,0.735
RollerBallBrain,0.195,232.448,0.944,101,0.736
RollerBallBrain,0.217,233.907,1.040,117,0.738
RollerBallBrain,0.208,235.252,0.956,107,0.739
RollerBallBrain,0.234,236.657,0.985,110,0.741
RollerBallBrain,0.235,238.009,0.935,103,0.742
RollerBallBrain,0.289,239.767,1.203,103,0.744
RollerBallBrain,0.322,241.623,1.282,111,0.745
RollerBallBrain,0.292,243.445,1.234,110,0.747
RollerBallBrain,0.350,245.144,1.104,105,0.748
RollerBallBrain,0.236,246.715,1.117,114,0.750
RollerBallBrain,0.298,248.131,0.923,101,0.751
RollerBallBrain,0.229,249.511,0.966,104,0.753
RollerBallBrain,0.221,250.924,0.986,102,0.754
RollerBallBrain,0.197,252.293,0.983,103,0.755
RollerBallBrain,0.214,253.605,0.919,108,0.756
RollerBallBrain,0.224,254.991,0.977,101,0.758
RollerBallBrain,0.246,256.435,1.002,101,0.759
RollerBallBrain,0.236,257.930,1.042,107,0.760
RollerBallBrain,0.223,259.408,1.054,105,0.762
RollerBallBrain,0.222,260.802,0.978,103,0.763
RollerBallBrain,0.231,262.228,0.999,113,0.764
RollerBallBrain,0.240,263.521,0.887,102,0.765
RollerBallBrain,0.282,265.070,1.060,106,0.766
RollerBallBrain,0.257,266.514,0.990,103,0.767
RollerBallBrain,0.228,267.883,0.952,104,0.769
RollerBallBrain,0.211,269.201,0.920,105,0.770
RollerBallBrain,0.215,270.519,0.921,103,0.771
RollerBallBrain,0.192,271.902,1.000,103,0.772
RollerBallBrain,0.209,273.193,0.911,109,0.773
RollerBallBrain,0.208,274.426,0.850,103,0.774
RollerBallBrain,0.192,275.703,0.911,108,0.776
RollerBallBrain,0.188,276.964,0.905,104,0.777
RollerBallBrain,0.192,278.257,0.923,107,0.778
RollerBallBrain,0.220,279.578,0.929,108,0.779
RollerBallBrain,0.190,280.852,0.916,103,0.780
RollerBallBrain,0.194,282.111,0.897,103,0.781
RollerBallBrain,0.196,283.407,0.924,101,0.782
RollerBallBrain,0.200,284.645,0.878,102,0.783
RollerBallBrain,0.204,285.916,0.896,105,0.784
RollerBallBrain,0.200,287.200,0.902,102,0.785
RollerBallBrain,0.196,288.502,0.936,104,0.786
RollerBallBrain,0.205,289.817,0.942,106,0.787
RollerBallBrain,0.211,291.076,0.884,102,0.788
RollerBallBrain,0.236,292.481,1.009,120,0.789
RollerBallBrain,0.190,293.780,0.933,106,0.790
